RU;6;1897;TransparentCalls;0.87;936;67;36
US;16;1198;E-Voice;0.75;878;80;6
GB;58;664;TransparentCalls;0.90;461;82;4
FR;6;406;TransparentCalls;0.65;127;36;3
BL;7;1083;E-Voice;0.91;963;52;54
AT;49;169;TransparentCalls;0.96;970;34;40
BG;97;359;E-Voice;0.92;859;87;37
DK;43;469;JustPhone;0.64;270;62;54
CA;21;839;JustPhone;0.75;643;28;27
ES;33;1402;E-Voice;0.65;426;21;9
CH;94;1191;JustPhone;0.68;606;81;56
TR;82;196;TransparentCalls;0.89;946;34;20
PE;17;288;JustPhone;0.86;413;23;59
NZ;15;1610;JustPhone;0.98;432;77;48
MC;74;1389;E-Voice;0.90;305;40;50
